college_name,college_type,college_estd,college_rating,college_img_url,college_location,college_contactNumber
"Armed Forces Medical College - [AFMC], Pune",Government,Estd 1948,9.8,https://images.collegedunia.com/public/college_data/images/appImage/10270_afmccover.jpg?w=1286&h=193&mode=stretch,"Southern Command, Near Race Course, Solapur Road, Wanowrie 
 Pune - 411040 
 Maharashtra ,    India",020-26026010
"Symbiosis Law School - [SLS], Pune",Private,Estd 1977,8.3,https://images.collegedunia.com/public/college_data/images/appImage/9127_SLS_New.jpg?w=1286&h=193&mode=stretch,"Survey No 227, Plot 11, Rohan Mithila, Opp. Pune Airport, New Airport Road, Viman Nagar 
 Pune - 411004 
 Maharashtra ,    India","020-66861100  ,    66861118"
"Symbiosis Institute of Design - [SID], Pune",Private,Estd 2002,8.0,https://images.collegedunia.com/public/college_data/images/appImage/1498624703PPPPPPPP.jpg?w=1286&h=193&mode=stretch,"S No. 231/4A, Viman Nagar, 
 Pune - 411014 
 Maharashtra ,    India","020-26634546  ,    26634546  ,    26634547"
"ILS Law College - [ILS], Pune",NAAC Grade A,"SPPU, Pune",7.2,https://images.collegedunia.com/public/college_data/images/appImage/8791_ILSLC_App.jpg?w=1286&h=193&mode=stretch,"Law College Rd, Chiplunkar Road 
 Pune - 411004 
 Maharashtra ,    India","020-25656775  ,    25658665"
"Fergusson College, Pune",NAAC Grade A,"SPPU, Pune",8.0,https://images.collegedunia.com/public/college_data/images/appImage/1284_FERGUSSON_APP.jpg?w=1286&h=193&mode=stretch,"Fergusson College Rd, Shivajinagar 
 Pune - 411004 
 Maharashtra ,    India",020-30866000
"Film and Television Institute of India - [FTII], Pune",nothing,Public Institute (Autonomous),9.0,https://images.collegedunia.com/public/college_data/images/appImage/5483_FILMP_APP.jpg?w=1286&h=193&mode=stretch,"Law College Road, 
 Pune - 411004 
 Maharashtra ,    India","020-25580000  ,    Administrative Office -  25580152  ,    Director's Office -  25580150  ,    Registrar's Office -  25580151"
"Poona College of Pharmacy, Pune",Private,Estd 1981,8.0,https://images.collegedunia.com/public/college_data/images/appImage/9781_P1.jpg?w=1286&h=193&mode=stretch,"Erandwane, Paud Road, 
 Pune - 411038 
 Maharashtra ,    India","020-25461046  ,    25439383"
"Sinhgad Institute of Pharmacy - [SIOP] Narhe, Pune",Private,Estd 2005,8.3,https://images.collegedunia.com/public/college_data/images/appImage/10016_SIOP_New.jpg?w=1286&h=193&mode=stretch,"Mumbai Pune bypass, off. Smt. Kashibai Navale Hospital,  Narhe Road, Narhe (Ambegaon) 
 Pune - 411004 
 Maharashtra ,    India",020-25431001
"Sinhgad Law College, Pune",Private,Estd 2003,7.3,https://images.collegedunia.com/public/college_data/images/appImage/9074_SINLAWC_APP.jpg?w=1286&h=193&mode=stretch,"S.No.10/1 Near Maharashtra Bank Wadgaon Campus, Ambegaon BK, 
 Pune - 411048 
 Maharashtra ,    India",020-24350595
"Mahatma Phule Krishi Vidyapeeth - [MPKV], Pune",nothing,Estd 1968,8.3,https://images.collegedunia.com/public/college_data/images/appImage/6666_MPKV_New.jpg?w=1286&h=193&mode=stretch,"Rahuri, Ahmednagar 
 Pune - 413722 
 Maharashtra ,    India","02426-243861  ,    243215"
"Symbiosis Institute of Business Management - [SIBM], Pune",Private,Estd 1978,8.4,https://images.collegedunia.com/public/college_data/images/appImage/18961_SIBM_New.jpg?w=1286&h=193&mode=stretch,"Symbiosis Knowledge Village, Gram Lavale Via Sus Road, Tal: Mulshi 
 Pune - 412115 
 Maharashtra ,    India",020-39116000
"Symbiosis Centre for Management and Human Resource Development - [SCMHRD], Pune",NAAC,"SIU, Pune",7.7,https://images.collegedunia.com/public/college_data/images/appImage/18958_SCMHRD_New.jpg?w=1286&h=193&mode=stretch,"Symbiosis Infotech Campus, Plot No. 15, Rajiv Gandhi Infotech Park, MIDC, Hinjawadi 
 Pune - 411057 
 Maharashtra ,    India","020-22934304  ,    22934305  ,    22934670"
"Bharati Vidyapeeth University, Institute of Hotel Management and Catering Technology - [IHMCT], Pune",Private,Estd 1992,nothing,https://images.collegedunia.com/public/college_data/images/appImage/7962_H.jpg?w=1286&h=193&mode=stretch,"Satara Road, Katraj- Dhanakwadi 
 Pune - 411043 
 Maharashtra ,    India","020-24372761  ,    24372788"
"Brihan Maharashtra College of Commerce - [BMCC], Pune",NAAC Grade A,"SPPU, Pune",8.3,https://images.collegedunia.com/public/college_data/images/appImage/690_BMCC_APP.jpg?w=1286&h=193&mode=stretch,"845, Shivajinagar 
 Pune - 411004 
 Maharashtra ,    India","Admission Cell -  020-30866200  ,    Exam Section -  30866284  ,    Principal -  30866203"
"St. Mira's College for Girls, Pune",NAAC,"SPPU, Pune",6.8,https://images.collegedunia.com/public/college_data/images/appImage/4940_SMCS_New.jpg?w=1286&h=193&mode=stretch,"6, Koregaon Park 
 Pune - 411001 
 Maharashtra ,    India",020-26124846
"Byramjee Jeejeebhoy Government Medical College - [BJMC], Pune",Government,Estd 1871,8.2,https://images.collegedunia.com/public/college_data/images/appImage/10289_BJMC_APP.jpg?w=1286&h=193&mode=stretch,"Jai Prakash Narayan Road, Near Pune Railway Station, 
 Pune - 411001 
 Maharashtra ,    India","020-26128000  ,    26126010"
"M.E.S. Abasaheb Garware College, Pune",NAAC,"SPPU, Pune",7.9,https://images.collegedunia.com/public/college_data/images/appImage/24171_MES_APP.jpg?w=1286&h=193&mode=stretch,"Maharshi Karve Road, Khilarewadi 
 Pune - 411004 
 Maharashtra ,    India","020-41038200  ,    41038207"
"Bharati Vidyapeeth New Law College -[NLC], Pune",Private,Estd 1978,7.0,https://images.collegedunia.com/public/college_data/images/appImage/8639_law.jpg?w=1286&h=193&mode=stretch,"Educational Complex, Paud Road, Erandwane, Kothrud, Rambaug Colony, Kothrud 
 Pune - 411038 
 Maharashtra ,    India","020-25455854  ,    25278446  ,    25444616"
"College of Engineering  - [COEP], Pune",Public (Autonomous),Estd 1854,8.6,https://images.collegedunia.com/public/college_data/images/appImage/28215_ENGINEERING_NEW.jpg?w=1286&h=193&mode=stretch,"Wellesely Road, Shivajinagar 
 Pune - 411005 
 Maharashtra ,    India",020-25507000
